,searches,Ключевик,Ключевик new,Клики,Стоимость кликов,Целевые визиты,Active,Формы/клики,predictions
0,вакансии в москве такси,"""вакансия +в такси Москва""",,1,46,1,1,100%,Unknown
1,такси водитель вакансии,"""вакансия такси водителем""",,1,39,1,1,100%,вакансия такси водителем
2,такси вакансии спб,"""вакансия такси Спб""",,1,53,1,1,100%,Unknown
3,вакансии такси,"""вакансия такси""",,1,59,1,1,100%,Unknown
4,вакансия такси,"""вакансия такси""",,1,45,0,1,0%,Unknown
5,яндекс такси вакансии,"""вакансия яндекс такси""",,9,243,2,2,22%,"""вакансия яндекс такси"""
6,водители в яндекс такси,"""водитель +в яндекс такси""",,1,23,1,1,100%,"""водитель в яндекс такси"""
7,вакансии водителя ульяновск,"""водитель вакансия Ульяновск""",,1,29,1,1,100%,Unknown
8,работа водителем категории в,"""водитель работа категория +в""",,1,49,1,1,100%,Unknown
9,работа уфа водитель,"""водитель работа Уфа""",,1,15,1,1,100%,Unknown
10,работа водитель,"""водитель работа""",,1,18,0,1,0%,Unknown
11,такси водителем волгоград,"""водитель такси Волгоград""",,1,34,1,1,100%,водитель такси -Москва Волгоград
12,водитель такси петрозаводск,"""водитель такси Петрозаводск""",,2,67,1,1,50%,водитель такси -Москва Петрозаводск
13,водитель такси,"""водитель такси""",,7,289,4,3,57%,"""водитель такси"""
14,такси водитель,"""водитель такси""",,1,28,1,3,100%,"""водитель такси"""
15,такси водителям,"""водитель такси""",,1,26,1,1,100%,"""водитель такси"""
16,яндекс работа водителем,"""водитель яндекс работа""",,1,13,1,1,100%,водитель яндекс работа
17,яндекс такси водитель,"""водитель яндекс такси""",,13,386,9,10,69%,"""водитель яндекс такси"""
18,водитель яндекс такси,"""водитель яндекс такси""",,6,122,2,3,33%,"""водитель яндекс такси"""
19,яндекс такси водителям,"""водитель яндекс такси""",,3,79,2,3,67%,"""водитель яндекс такси"""
20,водитель такси яндекс,"""водитель яндекс такси""",,1,5,1,1,100%,"""водитель яндекс такси"""
21,яндекс такси водителю,"""водитель яндекс такси""",,1,9,1,1,100%,"""водитель яндекс такси"""
22,ищу работу водителем,"""ищу работу водителем""",,0,0,2,1,,Unknown
23,подключение к убер,"""подключение +к убер""",,1,136,0,1,0%,Unknown
24,подключение к яндекс такси,"""подключение +к яндекс такси""",,13,609,4,3,31%,"""подключение к яндекс такси"""
25,яндекс такси подключение,"""подключение яндекс такси""",,5,159,4,4,80%,"""подключение яндекс такси"""
26,подключение яндекс такси,"""подключение яндекс такси""",,1,57,1,1,100%,"""подключение яндекс такси"""
27,яндекс такси подключиться,"""подключиться яндекс такси""",,1,30,0,1,0%,Unknown
28,подработка таксистом,"""подработка таксист""",,1,43,1,1,100%,Unknown
29,волгодонск работа в такси,"""работа +в такси Волгодонск""",,2,76,2,2,100%,Unknown
30,работа в такси воронеж,"""работа +в такси Воронеж""",,15,486,4,5,27%,Unknown
31,работа в гет такси,"""работа +в такси гет""",,0,0,1,1,,Unknown
32,работа в такси ижевск,"""работа +в такси Ижевск""",,2,36,1,1,50%,Unknown
33,работа в такси киров,"""работа +в такси Киров""",,1,52,1,1,100%,Unknown
34,работа в такси в москве,"""работа +в такси Москва""",,30,1937,11,6,37%,Unknown
35,работа в такси москва,"""работа +в такси Москва""",,1,58,1,1,100%,Unknown
36,такси работа в москве,"""работа +в такси Москва""",,5,416,1,1,20%,Unknown
37,найти работу в такси,"""работа +в такси найти""",,1,33,0,1,0%,Unknown
38,новосибирск работа в такси,"""работа +в такси Новосибирск""",,2,189,2,1,100%,Unknown
39,работа в такси в самаре,"""работа +в такси Самара""",,9,391,2,2,22%,Unknown
40,работа в такси саратов,"""работа +в такси Саратов""",,3,92,1,1,33%,Unknown
41,работа в такси уфа,"""работа +в такси Уфа""",,0,0,1,1,,Unknown
42,уфа работа в такси,"""работа +в такси Уфа""",,1,31,1,1,100%,Unknown
43,работа в такси хабаровск,"""работа +в такси Хабаровск""",,1,25,1,1,100%,Unknown
44,работа в такси чебоксары,"""работа +в такси Чебоксары""",,1,40,1,1,100%,Unknown
45,работа в такси в челябинске,"""работа +в такси Челябинск""",,0,0,1,1,,Unknown
46,работа в такси череповец,"""работа +в такси Череповец""",,1,42,0,1,0%,Unknown
47,работа в такси,"""работа +в такси""",,671,39251,111,21,17%,"""работа в такси"""
48,работа в яндекс такси в волгограде,"""работа +в яндекс такси Волгоград""",,4,93,1,1,25%,[работа в яндекс такси] -вакансия -работать Волгоград
49,яндекс такси в волгограде работа,"""работа +в яндекс такси Волгоград""",,1,7,1,1,100%,[работа в яндекс такси] -вакансия -работать Волгоград
50,работа в яндекс такси воронеж,"""работа +в яндекс такси Воронеж""",,10,221,1,1,10%,[работа в яндекс такси] -вакансия -работать Воронеж
51,работу в яндекс такси в воронеже,"""работа +в яндекс такси Воронеж""",,1,18,1,1,100%,[работа в яндекс такси] -вакансия -работать Воронеж
52,работа в яндекс такси екатеринбург,"""работа +в яндекс такси Екатеринбург""",,3,74,2,1,67%,[работа в яндекс такси] -вакансия -работать Екатеринбург
53,работа в яндекс такси казань,"""работа +в яндекс такси Казань""",,19,783,6,5,32%,[работа в яндекс такси] -вакансия -работать Казань
54,работа в яндекс такси кемерово,"""работа +в яндекс такси Кемерово""",,4,113,2,2,50%,Unknown
55,яндекс такси работа в кемерово,"""работа +в яндекс такси Кемерово""",,1,22,1,1,100%,Unknown
56,работа в яндекс такси краснодар,"""работа +в яндекс такси Краснодар""",,19,335,8,5,42%,[работа в яндекс такси] -вакансия -работать Краснодар
57,работа в яндекс такси курган,"""работа +в яндекс такси Курган""",,1,14,1,1,100%,[работа в яндекс такси] -вакансия -работать Курган
58,яндекс такси работа в нижнем новгороде,"""работа +в яндекс такси Нижний Новгород""",,1,7,1,1,100%,[работа в яндекс такси] -вакансия -работать Новгород
59,работа в яндекс такси в новосибирске,"""работа +в яндекс такси Новосибирск""",,1,30,0,1,0%,[работа в яндекс такси] -вакансия -работать Новосибирск
60,работа в яндекс такси новосибирск,"""работа +в яндекс такси Новосибирск""",,13,450,3,1,23%,[работа в яндекс такси] -вакансия -работать Новосибирск
61,работа в яндекс такси в омске,"""работа +в яндекс такси Омск""",,1,7,2,2,200%,[работа в яндекс такси] -вакансия -работать Омск
62,работа в яндекс такси омск,"""работа +в яндекс такси Омск""",,6,96,4,2,67%,[работа в яндекс такси] -вакансия -работать Омск
63,яндекс такси работа в омске,"""работа +в яндекс такси Омск""",,1,3,1,1,100%,[работа в яндекс такси] -вакансия -работать Омск
64,работа в яндекс такси пермь,"""работа +в яндекс такси Пермь""",,5,75,1,1,20%,[работа в яндекс такси] -вакансия -работать Пермь
65,работа в яндекс такси ростов на дону,"""работа +в яндекс такси Ростов +на дону""",,11,494,5,2,45%,[работа в яндекс такси] -вакансия -работать Ростов
66,яндекс такси работа в ростове на дону,"""работа +в яндекс такси Ростов +на дону""",,1,19,1,1,100%,[работа в яндекс такси] -вакансия -работать Ростов
67,работа в яндекс такси ростов,"""работа +в яндекс такси Ростов""",,3,67,1,1,33%,[работа в яндекс такси] -вакансия -работать Ростов
68,работа в яндекс такси самара,"""работа +в яндекс такси Самара""",,15,284,4,3,27%,[работа в яндекс такси] -вакансия -работать Самара
69,яндекс такси работа в самаре,"""работа +в яндекс такси Самара""",,1,5,0,1,0%,[работа в яндекс такси] -вакансия -работать Самара
70,работа яндекс такси в санкт петербурге,"""работа +в яндекс такси Санкт Петербург""",,1,77,1,1,100%,[работа в яндекс такси] -вакансия -работать Петербург
71,работа в яндекс такси в саратове,"""работа +в яндекс такси Саратов""",,2,18,1,2,50%,[работа в яндекс такси] -вакансия -работать Саратов
72,работа в яндекс такси саратов,"""работа +в яндекс такси Саратов""",,6,93,3,2,50%,[работа в яндекс такси] -вакансия -работать Саратов
73,работа в яндекс такси спб,"""работа +в яндекс такси Спб""",,61,2062,15,6,25%,[работа в яндекс такси] -вакансия -работать Спб
74,яндекс такси работа в спб,"""работа +в яндекс такси Спб""",,51,1921,8,4,16%,[работа в яндекс такси] -вакансия -работать Спб
75,работа в яндекс такси сургут,"""работа +в яндекс такси Сургут""",,2,16,2,2,100%,Unknown
76,работа в яндекс такси тольятти,"""работа +в яндекс такси Тольятти""",,7,174,5,4,71%,[работа в яндекс такси] -вакансия -работать Тольятти
77,яндекс такси работа в тольятти,"""работа +в яндекс такси Тольятти""",,2,9,2,2,100%,[работа в яндекс такси] -вакансия -работать Тольятти
78,яндекс такси в томске работа,"""работа +в яндекс такси Томск""",,1,11,1,1,100%,[работа в яндекс такси] -вакансия -работать Томск
79,яндекс такси работа в туле,"""работа +в яндекс такси Тула""",,4,78,2,2,50%,[работа в яндекс такси] -вакансия -работать Тула
80,работа в яндекс такси в туле,"""работа +в яндекс такси Тула""",,1,19,0,1,0%,[работа в яндекс такси] -вакансия -работать Тула
81,работа в яндекс такси тюмень,"""работа +в яндекс такси Тюмень""",,3,97,1,1,33%,[работа в яндекс такси] -вакансия -работать Тюмень
82,работа в яндекс такси ульяновск,"""работа +в яндекс такси Ульяновск""",,21,282,8,4,38%,[работа в яндекс такси] -вакансия -работать Ульяновск
83,яндекс такси работа в чебоксарах,"""работа +в яндекс такси Чебоксары""",,1,10,1,1,100%,[работа в яндекс такси] -вакансия -работать Чебоксары
84,работа в такси яндекс челябинск,"""работа +в яндекс такси Челябинск""",,1,33,1,1,100%,[работа в яндекс такси] -вакансия -работать Челябинск
85,работа в яндекс такси челябинск,"""работа +в яндекс такси Челябинск""",,1,51,0,1,0%,[работа в яндекс такси] -вакансия -работать Челябинск
86,яндекс такси работа в череповце,"""работа +в яндекс такси Череповец""",,0,0,0,1,,Unknown
87,работа в яндекс такси,"""работа +в яндекс такси""",,436,12634,118,67,27%,"""работа в яндекс такси"""
88,работа в такси яндекс,"""работа +в яндекс такси""",,3,113,3,3,100%,"""работа в яндекс такси"""
89,работа в яндексе такси,"""работа +в яндекс такси""",,1,9,0,1,0%,"""работа в яндекс такси"""
90,яндекс такси работа в яндекс такси,"""работа +в яндекс такси""",,1,19,1,1,100%,Unknown
91,работа на личном авто,"""работа +на личном авто""",,1,25,1,1,100%,Unknown
92,работа екатеринбург,"""работа Екатеринбург""",,3,56,1,1,33%,Unknown
93,пенза работа,"""работа Пенза""",,1,17,0,1,0%,Unknown
94,такси на работа,"""работа такси +на""",,1,65,1,1,100%,Unknown
95,работа водителем такси,"""работа такси водителем""",,2,153,2,2,100%,Unknown
96,работа такси геленджик,"""работа такси Геленджик""",,1,28,1,1,100%,Unknown
97,такси работа джет,"""работа такси джет""",,1,53,1,1,100%,Unknown
98,работа такси москва,"""работа такси Москва""",,1,57,1,1,100%,Unknown
99,такси новокузнецк работа,"""работа такси Новокузнецк""",,1,32,0,1,0%,Unknown
100,тверь такси работа,"""работа такси Тверь""",,1,43,1,1,100%,Unknown
101,такси ульяновск работа,"""работа такси Ульяновск""",,1,13,1,1,100%,Unknown
102,яндекс такси работа,"""работа яндекс такси""",,664,15285,202,91,30%,"""работа яндекс такси"""
103,работа яндекс такси,"""работа яндекс такси""",,14,252,10,12,71%,"""работа яндекс такси"""
104,такси яндекс работа,"""работа яндекс такси""",,3,61,3,3,100%,"""работа яндекс такси"""
105,работа такси яндекс,"""работа яндекс такси""",,0,0,1,1,,"""работа яндекс такси"""
106,стать водителем яндекс,"""стать водителем яндекс""",,1,13,1,1,100%,стать водителем яндекс
107,такси работа,"""такси работа""",,5,183,5,5,100%,Unknown
108,работа такси,"""такси работа""",,10,597,2,1,20%,Unknown
109,требуется водитель,"""требуется водитель""",,2,96,1,1,50%,Unknown
110,яндекс такси работа волгоград,"""яндекс такси Волгоград работа""",,1,5,1,1,100%,работа яндекс такси -Москва Волгоград
111,яндекс такси воронеж вакансии,"""яндекс такси Воронеж вакансии""",,6,403,1,1,17%,вакансия яндекс такси
112,яндекс такси воронеж работа,"""яндекс такси Воронеж работа""",,8,135,3,3,38%,работа яндекс такси -Москва Воронеж
113,яндекс такси зарабатывай,"""яндекс такси заработать""",,2,39,2,2,100%,Unknown
114,яндекс такси ижевск работа,"""яндекс такси Ижевск работа""",,2,30,2,2,100%,работа яндекс такси -Москва Ижевск
115,работа яндекс такси ижевск,"""яндекс такси Ижевск работа""",,1,9,1,1,100%,работа яндекс такси -Москва Ижевск
116,такси яндекс казань работа,"""яндекс такси Казань работа""",,2,46,2,2,100%,работа яндекс такси -Москва Казань
117,яндекс такси казань работа,"""яндекс такси Казань работа""",,7,181,2,2,29%,работа яндекс такси -Москва Казань
118,яндекс такси работа казань,"""яндекс такси Казань работа""",,3,109,1,2,33%,работа яндекс такси -Москва Казань
119,работа яндекс такси казань,"""яндекс такси Казань работа""",,1,38,1,1,100%,работа яндекс такси -Москва Казань
120,такси яндекс краснодар работа,"""яндекс такси Краснодар работа""",,1,52,1,2,100%,работа яндекс такси -Москва Краснодар
121,яндекс такси краснодар работа,"""яндекс такси Краснодар работа""",,3,65,2,2,67%,работа яндекс такси -Москва Краснодар
122,краснодар яндекс такси работа,"""яндекс такси Краснодар работа""",,1,32,1,1,100%,работа яндекс такси -Москва Краснодар
123,яндекс такси работа краснодар,"""яндекс такси Краснодар работа""",,2,32,1,1,50%,работа яндекс такси -Москва Краснодар
124,яндекс такси мурманск работа,"""яндекс такси Мурманск работа""",,8,104,2,2,25%,работа яндекс такси -Москва Мурманск
125,яндекс такси работа мурманск,"""яндекс такси Мурманск работа""",,1,20,1,1,100%,работа яндекс такси -Москва Мурманск
